ID;date;subj.id;age;sex;session;trial;correct
1;31.05.21;Kalema;25;m;1;1;yes
2;31.05.21;Kalema;25;m;1;2;yes
3;31.05.21;Kalema;25;m;1;3;yes
4;31.05.21;Kalema;25;m;1;4;yes
5;31.05.21;Kalema;25;m;1;5;yes
6;31.05.21;Kalema;25;m;1;6;yes
7;31.05.21;Asega;23;m;1;1;yes
8;31.05.21;Asega;23;m;1;2;yes
9;31.05.21;Asega;23;m;1;3;yes
10;31.05.21;Asega;23;m;1;4;yes
11;31.05.21;Asega;23;m;1;5;yes
12;31.05.21;Asega;23;m;1;6;yes
13;31.05.21;Okech;22;m;1;1;yes
14;31.05.21;Okech;22;m;1;2;yes
15;31.05.21;Okech;22;m;1;3;yes
16;31.05.21;Okech;22;m;1;4;yes
17;31.05.21;Okech;22;m;1;5;yes
18;31.05.21;Okech;22;m;1;6;yes
19;31.05.21;Nani;20;f;1;1;yes
20;31.05.21;Nani;20;f;1;2;yes
21;31.05.21;Nani;20;f;1;3;yes
22;31.05.21;Nani;20;f;1;4;yes
23;31.05.21;Nani;20;f;1;5;yes
24;31.05.21;Nani;20;f;1;6;no
25;31.05.21;Namukisa;22;f;1;1;no
26;31.05.21;Namukisa;22;f;1;2;yes
27;31.05.21;Namukisa;22;f;1;3;no
28;31.05.21;Namukisa;22;f;1;4;yes
29;31.05.21;Namukisa;22;f;1;5;yes
30;31.05.21;Namukisa;22;f;1;6;yes
31;31.05.21;Medina;14;f;1;1;yes
32;31.05.21;Medina;14;f;1;2;yes
33;31.05.21;Medina;14;f;1;3;yes
34;31.05.21;Medina;14;f;1;4;yes
35;31.05.21;Medina;14;f;1;5;yes
36;31.05.21;Medina;14;f;1;6;yes
37;31.05.21;Pasa;21;f;1;1;yes
38;31.05.21;Pasa;21;f;1;2;yes
39;31.05.21;Pasa;21;f;1;3;yes
40;31.05.21;Pasa;21;f;1;4;yes
41;31.05.21;Pasa;21;f;1;5;yes
42;31.05.21;Pasa;21;f;1;6;yes
43;31.05.21;Yoyo;23;f;1;1;yes
44;31.05.21;Yoyo;23;f;1;2;yes
45;31.05.21;Yoyo;23;f;1;3;yes
46;31.05.21;Yoyo;23;f;1;4;yes
47;31.05.21;Yoyo;23;f;1;5;yes
48;31.05.21;Yoyo;23;f;1;6;yes
49;01.06.21;Asega;23;m;2;7;yes
50;01.06.21;Asega;23;m;2;8;yes
51;01.06.21;Asega;23;m;2;9;yes
52;01.06.21;Asega;23;m;2;10;yes
53;01.06.21;Asega;23;m;2;11;yes
54;01.06.21;Asega;23;m;2;12;yes
55;01.06.21;Yoyo;23;f;2;7;yes
56;01.06.21;Yoyo;23;f;2;8;yes
57;01.06.21;Yoyo;23;f;2;9;yes
58;01.06.21;Yoyo;23;f;2;10;yes
59;01.06.21;Yoyo;23;f;2;11;yes
60;01.06.21;Yoyo;23;f;2;12;yes
61;01.06.21;Okech;22;m;2;7;yes
62;01.06.21;Okech;22;m;2;8;yes
63;01.06.21;Okech;22;m;2;9;yes
64;01.06.21;Okech;22;m;2;10;yes
65;01.06.21;Okech;22;m;2;11;yes
66;01.06.21;Okech;22;m;2;12;yes
67;01.06.21;Nani;20;f;2;7;yes
68;01.06.21;Nani;20;f;2;8;yes
69;01.06.21;Nani;20;f;2;9;yes
70;01.06.21;Nani;20;f;2;10;yes
71;01.06.21;Nani;20;f;2;11;yes
72;01.06.21;Nani;20;f;2;12;yes
73;01.06.21;Namukisa;22;f;2;7;yes
74;01.06.21;Namukisa;22;f;2;8;yes
75;01.06.21;Namukisa;22;f;2;9;yes
76;01.06.21;Namukisa;22;f;2;10;yes
77;01.06.21;Namukisa;22;f;2;11;yes
78;01.06.21;Namukisa;22;f;2;12;no
79;01.06.21;Medina;14;f;2;7;yes
80;01.06.21;Medina;14;f;2;8;yes
81;01.06.21;Medina;14;f;2;9;yes
82;01.06.21;Medina;14;f;2;10;yes
83;01.06.21;Medina;14;f;2;11;yes
84;01.06.21;Medina;14;f;2;12;yes
85;01.06.21;Pasa;21;f;2;7;yes
86;01.06.21;Pasa;21;f;2;8;yes
87;01.06.21;Pasa;21;f;2;9;yes
88;01.06.21;Pasa;21;f;2;10;yes
89;01.06.21;Pasa;21;f;2;11;yes
90;01.06.21;Pasa;21;f;2;12;yes
91;01.06.21;Kalema;25;m;2;7;no
92;01.06.21;Kalema;25;m;2;8;yes
93;01.06.21;Kalema;25;m;2;9;yes
94;01.06.21;Kalema;25;m;2;10;yes
95;01.06.21;Kalema;25;m;2;11;yes
96;01.06.21;Kalema;25;m;2;12;yes
97;12.06.21;Nakuu;20;f;1;1;yes
98;12.06.21;Nakuu;20;f;1;2;yes
99;12.06.21;Nakuu;20;f;1;3;yes
100;12.06.21;Nakuu;20;f;1;4;yes
101;12.06.21;Nakuu;20;f;1;5;yes
102;12.06.21;Nakuu;20;f;1;6;yes
103;12.06.21;Nkuumwa;25;f;1;1;yes
104;12.06.21;Nkuumwa;25;f;1;2;yes
105;12.06.21;Nkuumwa;25;f;1;3;yes
106;12.06.21;Nkuumwa;25;f;1;4;yes
107;12.06.21;Nkuumwa;25;f;1;5;yes
108;12.06.21;Nkuumwa;25;f;1;6;yes
109;12.06.21;Sally;30;f;1;1;no
110;12.06.21;Sally;30;f;1;2;yes
111;12.06.21;Sally;30;f;1;3;yes
112;12.06.21;Sally;30;f;1;4;yes
113;12.06.21;Sally;30;f;1;5;yes
114;12.06.21;Sally;30;f;1;6;yes
115;12.06.21;Kidogo;37;f;1;1;no
116;12.06.21;Kidogo;37;f;1;2;yes
117;12.06.21;Kidogo;37;f;1;3;no
118;12.06.21;Kidogo;37;f;1;4;yes
119;12.06.21;Kidogo;37;f;1;5;yes
120;12.06.21;Kidogo;37;f;1;6;yes
121;12.06.21;Cocoa;14;f;1;1;yes
122;12.06.21;Cocoa;14;f;1;2;yes
123;12.06.21;Cocoa;14;f;1;3;yes
124;12.06.21;Cocoa;14;f;1;4;yes
125;12.06.21;Cocoa;14;f;1;5;yes
126;12.06.21;Cocoa;14;f;1;6;yes
127;12.06.21;Indi;22;m;1;1;yes
128;12.06.21;Indi;22;m;1;2;yes
129;12.06.21;Indi;22;m;1;3;yes
130;12.06.21;Indi;22;m;1;4;yes
131;12.06.21;Indi;22;m;1;5;yes
132;12.06.21;Indi;22;m;1;6;yes
133;12.06.21;Baluku;23;m;1;1;yes
134;12.06.21;Baluku;23;m;1;2;yes
135;12.06.21;Baluku;23;m;1;3;yes
136;12.06.21;Baluku;23;m;1;4;yes
137;12.06.21;Baluku;23;m;1;5;yes
138;12.06.21;Baluku;23;m;1;6;yes
139;12.06.21;Bwambale;21;m;1;1;yes
140;12.06.21;Bwambale;21;m;1;2;yes
141;12.06.21;Bwambale;21;m;1;3;yes
142;12.06.21;Bwambale;21;m;1;4;yes
143;12.06.21;Bwambale;21;m;1;5;yes
144;12.06.21;Bwambale;21;m;1;6;yes
145;13.06.21;Nakuu;20;f;1;7;yes
146;13.06.21;Nakuu;20;f;1;8;yes
147;13.06.21;Nakuu;20;f;1;9;yes
148;13.06.21;Nakuu;20;f;1;10;yes
149;13.06.21;Nakuu;20;f;1;11;yes
150;13.06.21;Nakuu;20;f;1;12;yes
151;13.06.21;Nkuumwa;25;f;1;7;yes
152;13.06.21;Nkuumwa;25;f;1;8;yes
153;13.06.21;Nkuumwa;25;f;1;9;yes
154;13.06.21;Nkuumwa;25;f;1;10;yes
155;13.06.21;Nkuumwa;25;f;1;11;yes
156;13.06.21;Nkuumwa;25;f;1;12;yes
157;13.06.21;Sally;30;f;1;7;yes
158;13.06.21;Sally;30;f;1;8;yes
159;13.06.21;Sally;30;f;1;9;yes
160;13.06.21;Sally;30;f;1;10;yes
161;13.06.21;Sally;30;f;1;11;yes
162;13.06.21;Sally;30;f;1;12;yes
163;13.06.21;Kidogo;37;f;1;7;no
164;13.06.21;Kidogo;37;f;1;8;yes
165;13.06.21;Kidogo;37;f;1;9;no
166;13.06.21;Kidogo;37;f;1;10;yes
167;13.06.21;Kidogo;37;f;1;11;yes
168;13.06.21;Kidogo;37;f;1;12;yes
169;13.06.21;Cocoa;14;f;1;7;yes
170;13.06.21;Cocoa;14;f;1;8;yes
171;13.06.21;Cocoa;14;f;1;9;yes
172;13.06.21;Cocoa;14;f;1;10;yes
173;13.06.21;Cocoa;14;f;1;11;yes
174;13.06.21;Cocoa;14;f;1;12;yes
