ID;date;subj.id;age;sex;condition;order;study_order;session;trial;correct;rewarded
1;04.06.21;Kalema;25;m;test;testfirst;study3first;1;1;no;no
2;04.06.21;Kalema;25;m;test;testfirst;study3first;1;2;yes;yes
3;04.06.21;Kalema;25;m;test;testfirst;study3first;1;3;yes;yes
4;04.06.21;Kalema;25;m;test;testfirst;study3first;1;4;no;no
5;04.06.21;Kalema;25;m;test;testfirst;study3first;1;5;no;yes
6;04.06.21;Kalema;25;m;test;testfirst;study3first;1;6;yes;yes
7;04.06.21;Nani;20;f;test;testfirst;study3first;1;1;no;no
8;04.06.21;Nani;20;f;test;testfirst;study3first;1;2;no;no
9;04.06.21;Nani;20;f;test;testfirst;study3first;1;3;no;no
10;04.06.21;Nani;20;f;test;testfirst;study3first;1;4;yes;yes
11;04.06.21;Nani;20;f;test;testfirst;study3first;1;5;no;no
12;04.06.21;Nani;20;f;test;testfirst;study3first;1;6;no;yes
13;04.06.21;Pasa;21;f;test;testfirst;study3first;1;1;yes;yes
14;04.06.21;Pasa;21;f;test;testfirst;study3first;1;2;no;no
15;04.06.21;Pasa;21;f;test;testfirst;study3first;1;3;no;yes
16;04.06.21;Pasa;21;f;test;testfirst;study3first;1;4;no;no
17;04.06.21;Pasa;21;f;test;testfirst;study3first;1;5;yes;yes
18;04.06.21;Pasa;21;f;test;testfirst;study3first;1;6;yes;yes
19;04.06.21;Yoyo;23;f;test;testfirst;study3first;1;1;no;no
20;04.06.21;Yoyo;23;f;test;testfirst;study3first;1;2;no;no
21;04.06.21;Yoyo;23;f;test;testfirst;study3first;1;3;yes;yes
22;04.06.21;Yoyo;23;f;test;testfirst;study3first;1;4;no;yes
23;04.06.21;Yoyo;23;f;test;testfirst;study3first;1;5;no;no
24;04.06.21;Yoyo;23;f;test;testfirst;study3first;1;6;no;yes
25;05.06.21;Yoyo;23;f;test;testfirst;study3first;2;7;yes;yes
26;05.06.21;Yoyo;23;f;test;testfirst;study3first;2;8;no;yes
27;05.06.21;Yoyo;23;f;test;testfirst;study3first;2;9;no;no
28;05.06.21;Yoyo;23;f;test;testfirst;study3first;2;10;yes;yes
29;05.06.21;Yoyo;23;f;test;testfirst;study3first;2;11;no;no
30;05.06.21;Yoyo;23;f;test;testfirst;study3first;2;12;no;no
31;05.06.21;Nani;20;f;test;testfirst;study3first;2;7;no;no
