ID;date;subj.id;age;sex;condition;test_order;order;session;trial;other_pair;rewarded;experiment
1;04.06.21;Asega;23;m;test;testfirst;study4first;1;1;yes;no;study4
1;04.06.21;Kalema;25;m;test;testfirst;study3first;1;1;yes;no;study3
2;04.06.21;Asega;23;m;test;testfirst;study4first;1;2;yes;yes;study4
2;04.06.21;Kalema;25;m;test;testfirst;study3first;1;2;no;yes;study3
3;04.06.21;Asega;23;m;test;testfirst;study4first;1;3;yes;yes;study4
3;04.06.21;Kalema;25;m;test;testfirst;study3first;1;3;no;yes;study3
4;04.06.21;Asega;23;m;test;testfirst;study4first;1;4;yes;yes;study4
4;04.06.21;Kalema;25;m;test;testfirst;study3first;1;4;yes;no;study3
5;04.06.21;Asega;23;m;test;testfirst;study4first;1;5;yes;yes;study4
5;04.06.21;Kalema;25;m;test;testfirst;study3first;1;5;yes;yes;study3
6;04.06.21;Asega;23;m;test;testfirst;study4first;1;6;yes;no;study4
6;04.06.21;Kalema;25;m;test;testfirst;study3first;1;6;no;yes;study3
7;04.06.21;Nani;20;f;test;testfirst;study3first;1;1;yes;no;study3
7;05.06.21;Okech;22;m;test;testfirst;study4first;1;1;no;no;study4
8;04.06.21;Nani;20;f;test;testfirst;study3first;1;2;yes;no;study3
8;05.06.21;Okech;22;m;test;testfirst;study4first;1;2;yes;no;study4
9;04.06.21;Nani;20;f;test;testfirst;study3first;1;3;yes;no;study3
9;05.06.21;Okech;22;m;test;testfirst;study4first;1;3;yes;no;study4
10;04.06.21;Nani;20;f;test;testfirst;study3first;1;4;no;yes;study3
10;05.06.21;Okech;22;m;test;testfirst;study4first;1;4;yes;no;study4
11;04.06.21;Nani;20;f;test;testfirst;study3first;1;5;yes;no;study3
11;05.06.21;Okech;22;m;test;testfirst;study4first;1;5;yes;yes;study4
12;04.06.21;Nani;20;f;test;testfirst;study3first;1;6;yes;yes;study3
12;05.06.21;Okech;22;m;test;testfirst;study4first;1;6;yes;no;study4
13;04.06.21;Namukisa;22;f;test;testfirst;study4first;1;1;yes;yes;study4
13;04.06.21;Pasa;21;f;test;testfirst;study3first;1;1;no;yes;study3
14;04.06.21;Namukisa;22;f;test;testfirst;study4first;1;2;no;no;study4
14;04.06.21;Pasa;21;f;test;testfirst;study3first;1;2;yes;no;study3
15;04.06.21;Namukisa;22;f;test;testfirst;study4first;1;3;no;no;study4
15;04.06.21;Pasa;21;f;test;testfirst;study3first;1;3;yes;yes;study3
16;04.06.21;Namukisa;22;f;test;testfirst;study4first;1;4;yes;no;study4
16;04.06.21;Pasa;21;f;test;testfirst;study3first;1;4;yes;no;study3
17;04.06.21;Namukisa;22;f;test;testfirst;study4first;1;5;yes;yes;study4
17;04.06.21;Pasa;21;f;test;testfirst;study3first;1;5;no;yes;study3
18;04.06.21;Namukisa;22;f;test;testfirst;study4first;1;6;yes;no;study4
18;04.06.21;Pasa;21;f;test;testfirst;study3first;1;6;no;yes;study3
19;05.06.21;Asega;23;m;test;testfirst;study4first;2;7;yes;yes;study4
