ID;date;subj.id;age;sex;condition;experience;order;session;trial;other_pair;rewarded
1;24.06.21;Asega;23;m;control;yes;controlfirst;1;1;no;no
2;24.06.21;Asega;23;m;control;yes;controlfirst;1;2;yes;no
3;24.06.21;Asega;23;m;control;yes;controlfirst;1;3;no;no
4;24.06.21;Asega;23;m;control;yes;controlfirst;1;4;yes;no
5;24.06.21;Asega;23;m;control;yes;controlfirst;1;5;yes;yes
6;24.06.21;Asega;23;m;control;yes;controlfirst;1;6;yes;yes
7;24.06.21;Asega;23;m;control;yes;controlfirst;1;7;no;no
8;24.06.21;Asega;23;m;control;yes;controlfirst;1;8;yes;no
9;25.06.21;Asega;23;m;control;yes;controlfirst;2;9;yes;yes
10;25.06.21;Asega;23;m;control;yes;controlfirst;2;10;yes;yes
11;25.06.21;Asega;23;m;control;yes;controlfirst;2;11;yes;no
12;25.06.21;Asega;23;m;control;yes;controlfirst;2;12;yes;no
13;25.06.21;Asega;23;m;control;yes;controlfirst;2;13;yes;yes
14;25.06.21;Asega;23;m;control;yes;controlfirst;2;14;yes;no
15;25.06.21;Asega;23;m;control;yes;controlfirst;2;15;yes;yes
16;25.06.21;Asega;23;m;control;yes;controlfirst;2;16;yes;no
17;26.06.21;Asega;23;m;test;yes;controlfirst;3;1;yes;no
18;26.06.21;Asega;23;m;test;yes;controlfirst;3;2;no;yes
19;26.06.21;Asega;23;m;test;yes;controlfirst;3;3;yes;no
20;26.06.21;Asega;23;m;test;yes;controlfirst;3;4;yes;no
21;26.06.21;Asega;23;m;test;yes;controlfirst;3;5;no;yes
22;26.06.21;Asega;23;m;test;yes;controlfirst;3;6;yes;yes
23;26.06.21;Asega;23;m;test;yes;controlfirst;3;7;no;yes
24;26.06.21;Asega;23;m;test;yes;controlfirst;3;8;no;yes
25;27.06.21;Asega;23;m;test;yes;controlfirst;4;9;yes;yes
26;27.06.21;Asega;23;m;test;yes;controlfirst;4;10;yes;yes
27;27.06.21;Asega;23;m;test;yes;controlfirst;4;11;no;yes
28;27.06.21;Asega;23;m;test;yes;controlfirst;4;12;no;yes
29;27.06.21;Asega;23;m;test;yes;controlfirst;4;13;no;yes
30;27.06.21;Asega;23;m;test;yes;controlfirst;4;14;yes;no
31;27.06.21;Asega;23;m;test;yes;controlfirst;4;15;no;yes
32;27.06.21;Asega;23;m;test;yes;controlfirst;4;16;yes;no
33;24.06.21;Indi;22;m;test;yes;testfirst;1;1;no;yes
34;24.06.21;Indi;22;m;test;yes;testfirst;1;2;no;yes
35;24.06.21;Indi;22;m;test;yes;testfirst;1;3;no;yes
36;24.06.21;Indi;22;m;test;yes;testfirst;1;4;yes;yes
37;24.06.21;Indi;22;m;test;yes;testfirst;1;5;yes;yes
38;24.06.21;Indi;22;m;test;yes;testfirst;1;6;no;yes
39;24.06.21;Indi;22;m;test;yes;testfirst;1;7;no;yes
40;24.06.21;Indi;22;m;test;yes;testfirst;1;8;yes;no
41;25.06.21;Indi;22;m;test;yes;testfirst;2;9;yes;yes
42;25.06.21;Indi;22;m;test;yes;testfirst;2;10;no;yes
43;25.06.21;Indi;22;m;test;yes;testfirst;2;11;yes;yes
44;25.06.21;Indi;22;m;test;yes;testfirst;2;12;yes;no
45;25.06.21;Indi;22;m;test;yes;testfirst;2;13;no;yes
46;25.06.21;Indi;22;m;test;yes;testfirst;2;14;yes;no
47;25.06.21;Indi;22;m;test;yes;testfirst;2;15;yes;yes
48;25.06.21;Indi;22;m;test;yes;testfirst;2;16;no;yes
49;26.06.21;Indi;22;m;control;yes;testfirst;3;1;yes;no
50;26.06.21;Indi;22;m;control;yes;testfirst;3;2;yes;no
51;26.06.21;Indi;22;m;control;yes;testfirst;3;3;no;no
52;26.06.21;Indi;22;m;control;yes;testfirst;3;4;yes;yes
53;26.06.21;Indi;22;m;control;yes;testfirst;3;5;yes;yes
54;26.06.21;Indi;22;m;control;yes;testfirst;3;6;yes;no
55;26.06.21;Indi;22;m;control;yes;testfirst;3;7;yes;no
56;26.06.21;Indi;22;m;control;yes;testfirst;3;8;yes;no
57;27.06.21;Indi;22;m;control;yes;testfirst;4;9;no;no
58;27.06.21;Indi;22;m;control;yes;testfirst;4;10;yes;no
59;27.06.21;Indi;22;m;control;yes;testfirst;4;11;no;no
60;27.06.21;Indi;22;m;control;yes;testfirst;4;12;yes;no
61;27.06.21;Indi;22;m;control;yes;testfirst;4;13;yes;yes
62;27.06.21;Indi;22;m;control;yes;testfirst;4;14;yes;no
63;27.06.21;Indi;22;m;control;yes;testfirst;4;15;yes;yes
64;27.06.21;Indi;22;m;control;yes;testfirst;4;16;yes;no
65;24.06.21;Becky;30;f;control;no;controlfirst;1;1;yes;no
66;24.06.21;Becky;30;f;control;no;controlfirst;1;2;yes;no
67;24.06.21;Becky;30;f;control;no;controlfirst;1;3;yes;no
68;24.06.21;Becky;30;f;control;no;controlfirst;1;4;no;no
69;24.06.21;Becky;30;f;control;no;controlfirst;1;5;yes;yes
70;24.06.21;Becky;30;f;control;no;controlfirst;1;6;yes;yes
71;24.06.21;Becky;30;f;control;no;controlfirst;1;7;yes;no
72;24.06.21;Becky;30;f;control;no;controlfirst;1;8;yes;no
73;25.06.21;Becky;30;f;control;no;controlfirst;2;9;yes;yes
74;25.06.21;Becky;30;f;control;no;controlfirst;2;10;yes;no
75;25.06.21;Becky;30;f;control;no;controlfirst;2;11;yes;yes
76;25.06.21;Becky;30;f;control;no;controlfirst;2;12;yes;no
77;25.06.21;Becky;30;f;control;no;controlfirst;2;13;yes;no
78;25.06.21;Becky;30;f;control;no;controlfirst;2;14;no;no
79;25.06.21;Becky;30;f;control;no;controlfirst;2;15;yes;no
80;25.06.21;Becky;30;f;control;no;controlfirst;2;16;yes;yes
81;26.06.21;Becky;30;f;test;no;controlfirst;3;1;yes;no
82;26.06.21;Becky;30;f;test;no;controlfirst;3;2;no;yes
83;26.06.21;Becky;30;f;test;no;controlfirst;3;3;yes;yes
84;26.06.21;Becky;30;f;test;no;controlfirst;3;4;no;yes
85;26.06.21;Becky;30;f;test;no;controlfirst;3;5;no;yes
86;26.06.21;Becky;30;f;test;no;controlfirst;3;6;yes;yes
87;26.06.21;Becky;30;f;test;no;controlfirst;3;7;no;yes
88;26.06.21;Becky;30;f;test;no;controlfirst;3;8;yes;no
89;27.06.21;Becky;30;f;test;no;controlfirst;4;9;yes;yes
90;27.06.21;Becky;30;f;test;no;controlfirst;4;10;yes;yes
91;27.06.21;Becky;30;f;test;no;controlfirst;4;11;no;yes
92;27.06.21;Becky;30;f;test;no;controlfirst;4;12;no;yes
93;27.06.21;Becky;30;f;test;no;controlfirst;4;13;no;yes
94;27.06.21;Becky;30;f;test;no;controlfirst;4;14;yes;no
95;27.06.21;Becky;30;f;test;no;controlfirst;4;15;yes;yes
96;27.06.21;Becky;30;f;test;no;controlfirst;4;16;no;yes
97;24.06.21;Mawa;25;m;test;no;testfirst;1;1;yes;no
98;24.06.21;Mawa;25;m;test;no;testfirst;1;2;no;yes
99;24.06.21;Mawa;25;m;test;no;testfirst;1;3;yes;no
100;24.06.21;Mawa;25;m;test;no;testfirst;1;4;no;yes
101;24.06.21;Mawa;25;m;test;no;testfirst;1;5;no;yes
102;24.06.21;Mawa;25;m;test;no;testfirst;1;6;yes;no
103;24.06.21;Mawa;25;m;test;no;testfirst;1;7;no;yes
104;24.06.21;Mawa;25;m;test;no;testfirst;1;8;yes;no
105;25.06.21;Mawa;25;m;test;no;testfirst;2;9;yes;no
106;25.06.21;Mawa;25;m;test;no;testfirst;2;10;no;yes
107;25.06.21;Mawa;25;m;test;no;testfirst;2;11;yes;yes
108;25.06.21;Mawa;25;m;test;no;testfirst;2;12;yes;no
109;25.06.21;Mawa;25;m;test;no;testfirst;2;13;no;yes
110;25.06.21;Mawa;25;m;test;no;testfirst;2;14;no;yes
111;25.06.21;Mawa;25;m;test;no;testfirst;2;15;no;yes
112;25.06.21;Mawa;25;m;test;no;testfirst;2;16;yes;no
113;26.06.21;Mawa;25;m;control;no;testfirst;3;1;no;no
114;26.06.21;Mawa;25;m;control;no;testfirst;3;2;yes;yes
115;26.06.21;Mawa;25;m;control;no;testfirst;3;3;yes;yes
116;26.06.21;Mawa;25;m;control;no;testfirst;3;4;yes;yes
117;26.06.21;Mawa;25;m;control;no;testfirst;3;5;yes;no
118;26.06.21;Mawa;25;m;control;no;testfirst;3;6;yes;yes
119;26.06.21;Mawa;25;m;control;no;testfirst;3;7;yes;yes
